message_id,action,message_type,reason,confidence,evidence_message_ids
msg_044,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0036;message_0144;message_0143)",1.0,message_0036;message_0144;message_0143
msg_032,received,personal,"The message is a standard, non-urgent student inquiry in a group chat asking for review slides without requiring immediate active human coordination, falling under default routing.",0.95,none
msg_106,notify,event,"The message is a direct 1:1 personal message requiring active coordination for today's dance practice, referencing historical event arrangements such as message_0234 and message_0376.",0.95,none
msg_006,mute,business_update,Matched evidence ID message_0271 showing prior user reports and mutes for similar group maintenance/payment notices.,0.95,none
msg_109,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0152;message_0151;message_0150)",1.0,message_0152;message_0151;message_0150
msg_108,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0094;message_0093;message_0236)",1.0,message_0094;message_0093;message_0236
msg_019,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0094;message_0093;message_0236)",1.0,message_0094;message_0093;message_0236
msg_088,mute,personal,Matched historical context in message_0224 showing prior user mutes for similar personal items and topics from this sender format.,0.9,none
msg_056,received,event,"The message is a group coordination about a doctor appointment time change. While Rule 1 lists prior mutes, those correspond to spam/forwarded chain messages (e.g., message_0078), whereas this is a novel scheduling inquiry. It does not meet the strict emergency criteria for notify, defaulting to received.",0.85,none
msg_027,mute,promotion,"The security flags indicate that Domain Mismatch is True, which triggers the mute rule under priority rule 1.",1.0,none
msg_050,mute,business_update,"Although similar to message_0279, the domain mismatch flag is set to True combined with an unverified business status, triggering Rule 1 domain mismatch criteria.",0.95,none
msg_083,received,personal,"The message is a non-urgent request regarding a document review for the next day, falling under standard group communication as seen in message_0219.",0.95,none
msg_063,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0182;message_0181)",1.0,message_0182;message_0181
msg_033,received,personal,"The message is a casual 1:from-group personal greeting with no urgency, well-being threats, or direct 1:1 active coordination needs, falling under standard received traffic.",0.95,none
msg_061,mute,spam,"Matched historical context showing prior mutes for similar chain letter content as seen in evidence ID message_0194, and it features a high forward count (8) from an unverified group sender.",0.98,none
msg_020,mute,scam,"Matched evidence ID message_0095 showing historical mutes for similar unsolicited group content, and the message contains a suspicious external link.",0.95,none
msg_017,mute,scam,"Matched evidence ID message_0089 showing a similar scam warning about service stoppage and payment clearance, with prior user reports and mutes.",0.99,none
msg_058,mute,spam,"The message features a high forward count of 10 paired with health secret claims, matching historical evidence ID message_0078 where similar forward-heavy health chain messages led to user mutes.",0.95,none
msg_026,mute,scam,"Matched evidence ID message_0032, message_0108, and message_0107 showing prior user reports, mutes, and dismissals for similar delivery scam messages, and Domain Mismatch is True.",1.0,none
msg_047,mute,business_update,Matched historical context showing prior user reports and mutes for maintenance-related group messages as seen in evidence ID message_0152.,0.95,none
msg_046,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0148;message_0147)",1.0,message_0148;message_0147
msg_042,notify,urgent,"Matched evidence ID message_0140 demonstrating immediate real-time residential security and parking coordination needs, presenting a direct operational threat of towing requiring immediate human action.",0.95,none
msg_079,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0214;message_0173;message_0213)",1.0,message_0214;message_0173;message_0213
msg_098,notify,personal,"This is a direct personal message requiring immediate active human coordination regarding a time-sensitive medical appointment decision, aligning with historical patterns in message_0226 and message_0168.",0.95,none
msg_037,mute,event,"Matched historical sender signals showing prior reports and mutes, triggering Rule 1 despite the urgent tone.",0.95,none
msg_007,received,event,"The message is a routine community group update about a society potluck that does not require immediate human coordination or present any emergency, falling under the default received action.",0.95,none
msg_085,mute,scam,"The message indicates a bank account block and asks for an OTP from an unverified business with a domain mismatch, which triggers the security rule for scams.",1.0,none
msg_001,notify,urgent,"The message indicates an immediate, time-sensitive physical necessity regarding water supply within 20 minutes, directly impacting residents as supported by historical community alerts like message_0057 and message_0240.",0.95,none
msg_021,mute,payment,Matched evidence ID message_0271 showing prior user reports and mutes for similar payment or financial requests in the group.,0.95,none
msg_028,mute,promotion,"Matched evidence ID message_0034, message_0112, and message_0111 showing prior mutes for this promotional category and sender format, and Domain Mismatch is True.",0.99,none
msg_012,mute,spam,"Unwanted chain letter, spam broadcast, or mass forward. (Citing historical context: message_0247;message_0080;message_0079)",1.0,message_0247;message_0080;message_0079
msg_064,mute,scam,Matched evidence ID message_0087 and message_0184 showing past dismissal and reports for urgent wallet/card refund threats.,0.99,none
msg_103,notify,personal,"The message is a direct personal coordination regarding a reserved item requiring timely human response, fitting the criteria for immediate notification.",0.85,none
msg_031,received,event,"The calendar event invitation and meeting details for 'Incident Review' do not trigger critical real-time thresholds requiring a notification, defaulting to received.",0.95,none
msg_057,notify,urgent,"The message is a direct 1:1 style team request requiring immediate human coordination regarding a failing build before a client update, similar to patterns in message_0169 and message_0170.",0.95,none
msg_087,mute,spam,"Matched historical evidence message_0204, message_0203, and message_0223 showing prior user reports, mutes, and dismissals for similar real estate promotional messages.",0.98,none
msg_067,mute,payment,"Historical context shows prior user reports and mutes for this specific sender or topic/category/format, matching evidence ID message_0271.",0.95,none
msg_039,received,payment,"The message is a standard group notification regarding a school fee receipt and field-trip list deadline, fitting into routine business updates and receiving default action rather than meeting critical real-time emergency criteria.",0.95,none
msg_082,notify,urgent,"The message reports spiking checkout errors affecting live users, requiring immediate active human coordination as supported by historical incident response patterns seen in message_0218.",0.95,none
msg_066,mute,promotion,Matched evidence ID message_0188 and message_0187 showing past mutes for promotional messages.,0.95,none
msg_049,received,business_update,"The message is a routine business update regarding an order return pickup from Shopee, matching historical interactions like message_0153, and therefore defaults to received.",0.95,none
msg_015,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0214;message_0173;message_0213)",1.0,message_0214;message_0173;message_0213
msg_051,mute,promotion,Matched evidence ID message_0257 showing prior mutes for identical shopping offer reminder templates from the same sender.,1.0,none
msg_097,received,personal,"The message is a routine personal update indicating no urgency and explicitly stating 'Nothing urgent', which falls under standard communications rather than critical notifications.",0.95,none
msg_089,notify,event,"This is a direct 1:1 message regarding a personal item left behind with a strict time-sensitive deadline of 7 PM today, requiring immediate awareness.",0.95,none
msg_053,mute,spam,"The incoming message has a forward count of 6 paired with an unverified sender, triggering Rule 1 for mute.",0.95,none
msg_059,mute,scam,Matched evidence ID message_0213 showing similar phishing behavior attempting to harvest sensitive financial information.,1.0,none
msg_024,mute,promotion,Matched evidence ID message_0257 showing prior mutes for identical shopping offer reminder texts and historical patterns of dismissal.,1.0,none
msg_072,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0214;message_0173;message_0213)",1.0,message_0214;message_0173;message_0213
msg_036,mute,scam,"Matched evidence ID message_0283, message_0127, and message_0128 showing prior reports, mutes, and dismissals for identical scam content, combined with Domain Mismatch=True.",1.0,none
msg_076,mute,scam,"Matched evidence ID message_0207 showing past dismissal, reports, and mutes for similar refund scam patterns, along with Domain Mismatch being True.",1.0,none
msg_055,notify,urgent,"The message indicates an immediate time-sensitive personal coordination situation requiring quick human action, fitting the criteria for a high-priority notification.",0.95,none
msg_102,received,business_update,The message is a routine technical update regarding a production rollback and does not meet the strict real-time thresholds required for immediate notification.,0.95,none
msg_080,mute,urgent,"Matched historical context showing prior user reports and mutes for senders or topics in this group as evidenced by message_0271, triggering Rule 1 for mute.",0.95,none
msg_093,received,business_update,"The message is a routine delivery update from a verified business with no urgent security threats or immediate emergency needs, defaulting to received.",0.95,none
msg_034,mute,forward,"Matched historical evidence showing prior mutes for similar forwarded greetings and blessings, combined with a high forward count (>3) from an unverified group chat as evaluated under Rule 1.",0.95,none
msg_035,received,business_update,"The message is a routine B2B marketing inquiry from a known business offering payout services, which matches standard communications falling under the received default action.",0.95,none
msg_101,received,personal,"The message is a non-urgent personal note similar to historical patterns found in evidence ID message_0268, indicating food is kept in the fridge and explicitly stating no need to reply.",0.95,none
msg_041,mute,business_update,"The message must be muted because Domain Mismatch is True, which triggers the mandatory MUTE rule.",1.0,none
msg_011,mute,forward,"Matched historical evidence ID message_0077 and message_0078 showing prior mutes for similar forwarded positive energy messages, and the forward count is high at 8 from an unverified sender.",0.98,none
msg_110,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0381;message_0238)",1.0,message_0381;message_0238
msg_095,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0087;message_0184;message_0088)",1.0,message_0087;message_0184;message_0088
msg_074,mute,promotion,"Matched evidence ID message_0204 and message_0203 showing prior user reports, mutes, and dismissals for similar real estate promotional token booking spam with high forward count.",0.99,none
msg_073,mute,scam,"Matched evidence ID message_0087 and historical sender signals showing prior user reports and mutes, coupled with a high forward count and urgent scam-like verification demands.",1.0,none
msg_054,mute,scam,"High-risk security scam, phishing link, or prompt injection attempt. (Citing historical context: message_0164;message_0163)",1.0,message_0164;message_0163
msg_068,received,personal,"The message is a casual group chat regarding plans after a match with no urgency, fitting the criteria for standard non-urgent communication under RULE 3.",0.95,none
msg_100,notify,urgent,"The message indicates an immediate time-sensitive operational escalation starting in 20 minutes, mirroring past urgent coordination requests like message_0228.",0.95,none
msg_062,notify,urgent,"The image shows a missing person poster for Melwyn, age 16, missing since 4-11-2025 with contact numbers provided, which requires immediate attention and dissemination.",0.95,none
msg_096,notify,urgent,The message concerns an immediate real-time well-being situation involving a lost passport found at the reception desk that requires urgent personal action before 18h.,0.95,none
msg_043,mute,forward,"Matched evidence ID message_0271 showing prior user reports and mutes for forwarded group admin messages, combined with a high forward count greater than 3 from an unverified sender.",0.95,none
msg_077,received,event,"The message contains standard school circular information regarding a field trip and consent form, aligning well with routine educational event updates seen in history like message_0037.",0.95,none
msg_081,received,event,Matched evidence ID message_0217 showing routine transport updates which fall under standard business communications without critical real-time thresholds.,0.95,none
msg_025,received,business_update,"This is a routine order update from Amazon. Based on Rule 3, standard communications like order tracking are routed to received.",1.0,none
msg_084,mute,promotion,Matched evidence ID message_0220 showing past mutes for promotional HDFC Bank offers.,0.95,none
msg_022,mute,scam,Matched evidence ID message_0151 and message_0152 showing prior user reports and mutes for payment QR/screenshot demands from group contexts.,0.98,none
